id,fakultas,pekerjaan_ayah,pekerjaan_ibu,pendapatan_class,penghasilan_ayah,penghasilan_ibu,kepemilikan_rumah,koreksi_pengeluaran_mhs_iuran_sekolah,kendaraan,listrik,keberadaan_orangtua,pajak,ukt
301,5,9,1,8,4900000,0,5,0,4,2,2.0,500000.0,7
4825,6,7,1,1,900000,0,1,125000,3,2,2.0,0.0,2
3073,1,3,9,8,500000,5701900,5,536250,4,2,2.0,800000.0,6
4667,7,2,1,1,1000000,0,3,20000,3,1,2.0,292000.0,2
4733,4,2,1,1,1000000,0,3,0,4,1,2.0,200000.0,2
3570,9,0,9,8,0,4871324,4,35000,1,2,1.0,0.0,6
4963,4,7,1,1,2000000,0,4,0,3,2,2.0,225000.0,2
2811,2,2,1,1,2000000,0,1,0,3,3,2.0,170000.0,3
1097,3,1,1,3,4000000,0,6,995000,3,3,2.0,170000.0,5
4199,8,5,2,5,0,2000000,5,0,3,2,2.0,300000.0,4
3494,8,1,1,1,1500000,0,1,75000,3,2,2.0,200000.0,2
219,5,1,6,8,0,2877238,1,275000,4,3,2.0,265000.0,6
4508,8,1,1,1,1500000,0,1,300000,3,2,2.0,149000.0,2
3290,2,7,6,8,2000000,3200000,1,275000,4,4,2.0,146000.0,6
4121,1,1,1,2,1000000,0,1,105000,3,3,2.0,125000.0,2
2678,10,9,7,8,20000000,35000000,8,1900000,7,5,2.0,3000000.0,8
745,4,2,3,8,2000000,1500000,5,200000,4,2,2.0,230000.0,6
2825,2,1,9,8,1500000,5036600,4,250000,3,2,2.0,200000.0,6
4956,4,1,1,2,1000000,0,1,225000,4,2,2.0,0.0,2
4915,2,3,1,1,1500000,0,2,0,3,1,2.0,200000.0,2
3979,3,9,0,8,17000000,0,8,450000,7,4,1.0,3400000.0,8
4356,5,1,1,3,2000000,0,3,0,3,3,2.0,250000.0,2
1631,4,5,5,8,18363975,2816651,7,270000,6,4,2.0,2000000.0,8
2659,2,0,9,8,0,4376100,5,0,3,2,1.0,209000.0,6
917,4,9,3,8,5341200,1500000,3,0,3,2,2.0,230000.0,7
