no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,Penghasilan perkapita,ukt
231710030967,8,1.0,5.0,0.0,5052300.0,8,8,2.0,3,3,2.0,3,8,6.0
231710030961,10,14.0,14.0,13479000.0,7000000.0,8,8,3.0,7,8,4.0,4,8,8.0
231710030954,9,9.0,6.0,1500000.0,3000000.0,8,8,3.0,3,3,3.0,2,8,8.0
233720111389,9,9.0,6.0,1500000.0,3000000.0,8,8,3.0,3,3,3.0,2,8,8.0
231710030953,5,5.0,1.0,6000000.0,0.0,8,8,3.0,7,3,1.0,2,8,8.0
231710030934,4,12.0,1.0,2500000.0,0.0,8,6,2.0,5,3,3.0,2,6,6.0
231710030919,8,9.0,1.0,1500000.0,0.0,8,2,3.0,2,3,1.0,2,2,3.0
231710030917,7,12.0,1.0,1000000.0,0.0,5,1,4.0,2,3,3.0,2,1,2.0
231710030915,4,9.0,5.0,1500000.0,4205400.0,8,8,2.0,4,3,4.0,1,8,5.0
231710030906,4,3.0,14.0,1000000.0,2000000.0,8,2,5.0,3,3,4.0,2,2,3.0
231710030893,8,5.0,6.0,36000000.0,22000000.0,8,8,6.0,8,8,3.0,4,8,8.0
231710030888,4,5.0,1.0,4137400.0,0.0,8,7,3.0,4,4,4.0,3,7,7.0
231710030879,5,11.0,1.0,8000000.0,0.0,8,8,3.0,7,3,2.0,4,8,8.0
231710030874,9,9.0,5.0,2000000.0,4000000.0,8,8,4.0,3,4,4.0,2,8,6.0
423420359,9,9.0,5.0,2000000.0,4000000.0,8,8,4.0,3,4,4.0,2,8,6.0
231710030861,2,11.0,13.0,2500000.0,0.0,8,2,5.0,1,4,1.0,1,2,3.0
231710030860,4,13.0,11.0,0.0,2000000.0,8,5,2.0,1,3,3.0,1,5,1.0
231710030853,4,14.0,5.0,1000000.0,4000000.0,8,6,4.0,4,4,3.0,2,6,7.0
231710030839,2,3.0,1.0,3000000.0,0.0,8,5,3.0,5,4,2.0,3,5,6.0
231710030833,2,1.0,6.0,0.0,3500000.0,8,8,2.0,4,3,1.0,2,8,5.0
231710030821,2,6.0,1.0,4000000.0,0.0,8,5,4.0,3,4,1.0,3,5,6.0
231710030813,9,3.0,1.0,2500000.0,0.0,8,8,1.0,7,4,3.0,2,8,6.0
231710030812,8,3.0,14.0,800000.0,200000.0,5,1,3.0,2,3,2.0,2,1,2.0
231710030811,3,5.0,5.0,5000000.0,4000000.0,8,8,5.0,7,6,5.0,3,8,8.0
231710030794,2,6.0,1.0,4500000.0,0.0,8,8,3.0,2,3,3.0,2,8,5.0
231710030780,2,7.0,1.0,1500000.0,0.0,8,1,5.0,4,3,5.0,1,1,3.0
231710030776,10,12.0,7.0,4074000.0,1800000.0,8,8,1.0,6,3,5.0,3,8,7.0
231710030757,5,7.0,1.0,2000000.0,0.0,8,3,3.0,5,3,3.0,2,3,6.0
231710030753,9,5.0,5.0,5000000.0,3000000.0,8,8,5.0,5,4,1.0,3,8,7.0
231710030739,1,3.0,1.0,3500000.0,0.0,8,3,5.0,4,3,4.0,2,3,3.0
231710030738,7,13.0,14.0,0.0,1200000.0,6,1,3.0,1,6,2.0,2,1,3.0
231710030730,8,9.0,1.0,2350000.0,0.0,8,1,5.0,3,3,3.0,2,1,6.0
231710030729,10,13.0,6.0,0.0,4200000.0,8,7,3.0,1,1,3.0,1,7,2.0
231710030720,4,3.0,1.0,1800000.0,0.0,8,1,4.0,3,3,2.0,2,1,3.0
231710030717,8,11.0,14.0,2000000.0,2500000.0,8,8,1.0,4,4,4.0,3,8,6.0
231710030711,4,11.0,1.0,5215301.0,0.0,8,7,4.0,4,4,4.0,3,7,7.0
231710030708,9,9.0,1.0,2300000.0,0.0,8,1,5.0,5,3,2.0,2,1,3.0
231710030704,3,12.0,10.0,3790000.0,400000.0,8,7,3.0,5,6,3.0,2,7,7.0
231710030703,4,11.0,1.0,1000000.0,0.0,5,1,5.0,2,3,4.0,2,1,1.0
231710030696,4,14.0,1.0,2430000.0,0.0,8,1,5.0,3,3,1.0,2,1,3.0
231710030693,9,5.0,1.0,5947500.0,0.0,8,8,4.0,6,4,4.0,3,8,7.0
231710030692,9,5.0,1.0,5350000.0,0.0,8,7,4.0,7,6,3.0,3,7,8.0
231710030684,4,6.0,1.0,7725171.0,0.0,8,8,4.0,4,6,5.0,2,8,8.0
231710030683,4,6.0,1.0,8000000.0,0.0,8,8,4.0,1,3,5.0,1,8,8.0
231710030681,4,1.0,14.0,0.0,2.0,1,1,2.0,1,1,1.0,2,1,1.0
231710030671,3,14.0,5.0,4500000.0,12165537.0,8,8,4.0,8,8,4.0,4,8,8.0
231710030659,10,9.0,1.0,4000000.0,0.0,8,5,4.0,7,3,3.0,5,5,8.0
231710030651,10,5.0,1.0,6000000.0,0.0,8,8,4.0,5,3,1.0,3,8,8.0
231710030638,3,5.0,1.0,3861000.0,0.0,8,3,5.0,4,6,1.0,4,3,4.0
231710030614,2,9.0,1.0,1500000.0,0.0,8,1,5.0,4,3,4.0,2,1,6.0
231710030604,10,11.0,1.0,4000000.0,0.0,8,8,2.0,4,3,2.0,2,8,3.0
231710030599,5,14.0,1.0,2000000.0,0.0,8,5,2.0,3,3,3.0,3,5,5.0
231710030595,2,3.0,1.0,2000000.0,0.0,8,1,7.0,1,3,4.0,3,1,3.0
