no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,penghasilan,pajak_mobil,pajak_motor,ukt
423591954,1,5.0,5.0,5220300,5190300,8,8,7,6,6,1550000,2,8,1450000.0,171500,6
423441393,2,9.0,1.0,2500000,0,8,4,3,8,6,50000,2,4,1300000.0,300000,6
423119886,8,11.0,1.0,2500000,0,8,1,6,4,3,110000,3,2,0.0,286000,4
423373641,8,6.0,5.0,6000000,3500000,8,7,7,1,5,2050000,2,7,0.0,600000,8
423525615,1,9.0,5.0,4000000,3843500,8,7,6,3,7,200000,2,7,971362.0,300000,3
423681992,8,11.0,1.0,5400000,0,8,4,6,5,4,850000,2,4,0.0,300000,8
423606968,8,11.0,14.0,3200000,0,8,3,4,1,3,0,2,8,0.0,250000,7
423206505,8,3.0,5.0,1000000,5103900,8,6,5,2,3,120000,2,6,0.0,211000,7
423210885,1,14.0,1.0,12315206,0,8,8,4,7,7,200000,3,8,2100000.0,470000,6
423114614,8,6.0,5.0,3000000,4000000,8,7,5,1,3,550000,2,7,0.0,206000,8
423429298,1,5.0,5.0,11327204,6717002,8,8,4,5,6,60000,3,8,1300000.0,495500,6
423672401,1,9.0,1.0,4800000,0,8,5,5,5,3,0,2,5,0.0,203000,3
423052344,8,9.0,1.0,4500000,0,8,8,2,5,1,120000,4,8,0.0,0,8
423200606,8,5.0,1.0,3434700,0,8,3,5,2,1,0,2,3,0.0,0,4
423011911,1,6.0,1.0,16391284,0,8,8,7,7,6,700000,4,8,2868000.0,258000,7
423109648,8,11.0,1.0,2000000,0,8,2,4,3,3,75000,2,5,0.0,200000,6
423458488,1,13.0,7.0,0,5000000,8,8,2,6,3,0,3,8,0.0,195000,6
423248095,8,7.0,1.0,2500000,0,8,1,6,2,4,0,1,1,150000.0,150000,2
423428925,8,9.0,1.0,6000000,0,8,8,4,4,6,0,2,8,2000000.0,0,8
423497525,1,9.0,5.0,500000,4618900,8,4,6,3,3,90000,2,4,0.0,385000,2
423235403,1,14.0,5.0,2700000,408700,8,5,3,3,4,0,2,5,0.0,225750,2
423398053,8,13.0,14.0,0,2080000,8,8,1,8,3,300000,2,8,0.0,0,7
423168564,1,10.0,1.0,12500000,0,8,8,4,6,7,0,3,8,3000000.0,250000,6
423616173,8,12.0,5.0,4362100,4776200,8,7,7,3,3,167000,1,8,0.0,215000,7
423659484,8,10.0,1.0,5000000,0,8,8,3,7,6,1375000,3,8,350000.0,300000,8
423321469,1,9.0,5.0,5000000,10000000,8,8,7,7,3,0,3,8,0.0,300000,4
423384856,8,12.0,1.0,0,0,1,1,5,5,5,135000,2,1,0.0,500000,4
423221526,1,5.0,5.0,12961800,11940200,8,8,5,4,6,0,3,8,1515450.0,210000,8
423135490,1,9.0,5.0,4500000,5000000,8,8,5,7,3,0,2,8,5000000.0,0,6
423615232,1,12.0,1.0,7091900,0,8,8,4,7,6,222222,4,8,1716750.0,145500,7
423542239,1,9.0,1.0,5000000,0,8,8,2,7,4,290000,4,8,0.0,169000,7
423067207,1,6.0,14.0,2668999,1050000,8,6,3,1,3,300000,2,6,0.0,170000,3
423402211,5,11.0,1.0,2000000,0,8,1,5,1,3,100000,2,1,0.0,0,3
423314630,8,7.0,1.0,1500000,0,8,2,3,5,4,450,3,2,0.0,0,5
423486469,5,11.0,1.0,3000000,0,8,3,4,4,4,500000,3,3,0.0,200000,6
423653373,8,14.0,1.0,15000000,0,8,8,5,7,6,450000,4,8,3300000.0,252500,8
423180050,8,9.0,1.0,1500000,0,8,2,3,3,4,70000,2,2,0.0,170000,3
423146613,8,3.0,5.0,1000000,4549800,8,4,6,7,3,60000,2,4,2000000.0,300000,7
423098113,8,3.0,3.0,1000000,500000,8,2,3,2,3,0,1,2,0.0,0,2
423075414,5,6.0,1.0,4647913,0,8,8,3,4,3,0,2,4,0.0,224000,4
423257635,8,6.0,1.0,15000000,0,8,8,4,1,6,577500,4,8,1800000.0,150000,8
